pix,year,for_age_2003,for_con_2003,for_pro,elev,p1_trend,p1_trend_slope,trend_20yrs,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,fire,harv,insc,gfc,canlad,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos
144618,2003,81.875,50.776,0,427.887,2,-4.893,,,,-8.998,0.0,1.182,-0.45,3.629,2.0,0.591,-0.225,5.318,-3.0,2.364,-0.902,5.731,3.0,0,0,0,0,0,,,,,,
144619,2003,86.364,50.896,0,433.17,2,-3.325,,,,-8.998,0.0,-0.043,-0.278,3.626,2.0,-0.021,-0.139,5.307,-3.0,-0.087,-0.555,5.736,3.0,0,0,0,0,0,,,,,,
144724,2003,86.723,75.129,1,393.268,2,-4.691,,,,-8.416,0.0,-0.838,-0.807,4.141,2.0,-0.419,-0.403,4.591,-3.0,-1.676,-1.613,5.33,3.0,0,0,0,0,0,,,,,,
144756,2003,67.549,73.425,0,333.204,2,-4.121,,,,-8.065,0.0,0.595,1.953,4.483,2.0,0.298,0.976,4.565,-3.0,1.19,3.905,5.133,3.0,0,0,0,0,0,,,,,,
144804,2003,87.107,56.466,1,323.329,2,-2.954,,,,-7.491,0.0,2.012,2.659,4.932,1.23,1.006,1.33,4.432,-4.0,4.022,5.316,4.807,3.0,0,0,0,0,0,,,,,,
144933,2003,78.367,56.017,0,226.291,2,-4.8,,,,-6.125,0.0,1.962,4.179,6.342,2.0,0.981,2.089,4.584,-5.0,3.923,8.359,3.82,4.0,0,0,0,1,0,,,,,,
144934,2003,70.34,62.289,0,221.954,2,-3.758,,,,-6.116,0.0,0.628,1.571,6.352,2.0,0.314,0.786,4.588,-5.11,1.254,3.143,3.807,4.0,0,0,0,1,1,,,,,,
34807,2003,89.411,46.844,0,271.047,2,-3.282,,,,-5.359,0.0,4.697,3.987,5.183,2.0,2.348,1.994,6.152,-3.0,9.395,7.973,3.648,3.0,0,0,0,0,0,,,,,,
68745,2003,90.811,75.952,0,298.131,2,-3.532,,,,-5.867,0.0,-1.348,1.263,5.229,2.0,-0.674,0.631,5.609,-3.208,-2.697,2.527,3.93,3.0,0,0,0,0,0,,,,,,
57453,2003,69.035,26.321,1,277.733,2,-4.004,,,,-5.448,0.0,0.573,1.628,5.387,2.0,0.287,0.814,5.759,-4.0,1.145,3.257,3.677,3.0,0,0,0,0,0,,,,,,
77018,2003,100.531,81.969,0,209.582,2,-3.582,,,,-5.441,-1.0,-3.232,-3.136,5.58,1.0,-1.616,-1.568,5.231,-5.0,-6.463,-6.272,3.548,4.0,0,0,0,0,0,,,,,,
82008,2003,75.703,60.754,0,293.761,2,-6.115,2,,,-7.352,0.0,-2.216,-6.539,4.307,2.0,-1.108,-3.269,5.658,-4.0,-4.431,-13.08,4.776,3.0,0,2,0,1,2,,,,,,
10026,2003,78.641,28.493,0,373.377,2,-5.243,,,,-6.314,0.0,3.075,-2.172,4.545,2.0,1.537,-1.086,6.872,-2.0,6.152,-4.343,4.463,2.0,0,0,0,0,0,,,,,,
169582,2003,89.734,42.625,0,296.796,2,-5.624,5,,,-6.916,0.0,0.296,-0.554,6.162,2.0,0.148,-0.277,4.152,-4.12,0.592,-1.106,4.424,3.0,0,0,0,2,2,,,,,,
204140,2003,93.285,11.87,0,466.962,2,-4.699,,,,-9.716,0.0,-0.681,2.548,3.039,2.0,-0.341,1.274,5.377,-3.0,-1.363,5.097,5.664,3.0,0,0,0,1,0,,,,,,
204149,2003,92.837,86.373,0,443.658,2,-3.048,,,,-9.887,0.0,1.668,0.979,2.944,2.0,0.834,0.489,5.208,-3.0,3.334,1.958,5.764,3.0,0,0,0,1,0,,,,,,
204150,2003,88.594,69.638,0,445.418,2,-5.071,5,,,-9.9,0.0,-0.172,-0.791,2.925,2.0,-0.086,-0.396,5.194,-3.0,-0.344,-1.583,5.771,3.0,0,0,0,2,0,,,,,,
204205,2003,73.568,46.81,1,411.789,2,-3.643,,,,-9.882,0.0,1.339,2.9,3.033,2.0,0.67,1.45,4.644,-3.0,2.678,5.8,5.785,3.0,0,0,0,0,0,,,,,,
204350,2003,105.751,21.509,0,480.327,2,-7.007,,,,-9.425,0.0,1.49,0.687,3.928,2.0,0.745,0.344,3.585,-3.0,2.981,1.373,5.802,3.0,0,0,0,1,0,,,,,,
204351,2003,88.269,24.358,0,471.907,2,-6.241,,,,-9.413,0.0,5.115,2.788,3.946,2.0,2.557,1.394,3.589,-3.0,10.23,5.575,5.792,3.0,0,0,0,1,0,,,,,,
204352,2003,77.067,22.189,0,466.111,2,-5.948,,,,-9.406,0.0,7.667,3.956,3.953,1.685,3.833,1.978,3.585,-3.0,15.336,7.912,5.786,3.0,0,0,0,0,0,,,,,,
204381,2003,82.897,51.989,0,441.499,2,-3.72,,,,-9.17,0.0,1.498,-1.165,4.32,1.0,0.749,-0.582,3.583,-3.0,2.995,-2.33,5.709,3.0,0,0,0,0,0,,,,,,
204383,2003,75.279,49.751,0,421.563,2,-3.465,,,,-9.138,0.0,3.013,1.524,4.351,1.0,1.507,0.762,3.584,-3.026,6.026,3.049,5.685,3.0,0,0,0,0,0,,,,,,
204395,2003,109.594,23.843,0,488.962,2,-3.488,1,,,-9.157,0.0,-0.066,0.495,4.567,2.0,-0.033,0.247,3.663,-2.154,-0.132,0.99,5.831,3.0,0,0,0,2,0,,,,,,
204441,2003,76.194,66.685,0,326.471,2,-7.806,1,,,-8.536,0.0,5.152,-9.962,5.024,2.0,2.576,-4.981,3.503,-3.0,10.305,-19.924,5.38,3.0,0,1,0,2,4,,,,,,
204484,2003,85.872,47.878,1,221.586,2,-3.603,,,,-8.071,0.0,-0.41,1.274,5.449,2.0,-0.205,0.637,3.382,-5.0,-0.82,2.549,5.014,4.0,0,0,0,0,0,,,,,,
204485,2003,95.743,61.412,1,225.571,2,-4.876,,,,-8.069,0.0,-0.665,1.24,5.466,2.0,-0.333,0.62,3.384,-4.989,-1.332,2.48,5.026,3.989,0,0,0,0,0,,,,,,
204533,2003,76.239,15.91,0,371.898,2,-3.455,1,,,-7.691,0.0,4.379,0.96,6.293,2.0,2.19,0.48,3.758,-4.0,8.758,1.919,4.926,3.0,0,0,0,1,0,,,,,,
205166,2003,121.655,12.19,0,463.089,2,-3.91,,,,-9.686,0.0,-4.725,2.87,3.055,2.0,-2.363,1.435,5.385,-3.0,-9.451,5.742,5.626,3.0,0,0,0,1,0,,,,,,
205199,2003,100.374,47.562,1,448.415,2,-4.342,,,,-9.979,0.0,-2.941,-0.806,2.811,2.0,-1.47,-0.403,4.894,-3.0,-5.882,-1.613,5.801,3.0,0,0,0,0,0,,,,,,
205200,2003,98.876,43.044,1,444.382,2,-4.33,,,,-9.98,0.0,-3.187,0.205,2.812,2.0,-1.594,0.102,4.882,-3.0,-6.374,0.41,5.801,3.0,0,0,0,0,0,,,,,,
205205,2003,98.691,37.434,1,435.283,2,-4.641,,,,-9.972,0.0,-2.074,2.107,2.856,2.0,-1.037,1.054,4.836,-3.0,-4.149,4.214,5.801,3.0,0,0,0,0,0,,,,,,
205243,2003,78.794,39.441,1,456.827,2,-3.265,,,,-9.947,0.851,4.837,0.783,3.09,2.0,2.419,0.391,4.574,-3.0,9.674,1.567,5.868,3.0,0,0,0,0,0,,,,,,
205258,2003,127.951,24.354,1,460.784,2,-4.296,,,,-9.921,0.809,-2.306,0.413,3.187,1.84,-1.153,0.206,4.407,-2.625,-4.614,0.827,5.881,3.16,0,0,0,0,0,,,,,,
205259,2003,121.595,28.839,1,470.234,2,-4.317,,,,-9.93,0.304,-0.054,-0.018,3.194,1.314,-0.027,-0.009,4.384,-2.776,-0.108,-0.035,5.89,3.686,0,0,0,0,0,,,,,,
205270,2003,81.833,31.116,1,461.088,2,-5.333,,,,-9.919,0.215,2.807,2.136,3.248,1.276,1.403,1.068,4.298,-3.003,5.615,4.272,5.896,3.432,0,0,0,0,0,,,,,,
205372,2003,106.012,29.609,0,462.333,2,-3.808,,,,-9.52,0.0,-1.8,0.724,3.866,1.355,-0.9,0.362,3.601,-3.0,-3.6,1.448,5.831,3.0,0,0,0,0,0,,,,,,
205379,2003,97.323,29.255,0,469.521,2,-3.574,,,,-9.435,0.0,3.813,-0.55,3.951,1.606,1.906,-0.275,3.569,-3.0,7.626,-1.101,5.797,3.0,0,0,0,1,0,,,,,,
205472,2003,78.25,79.122,0,300.526,2,-4.235,,,,-8.493,0.0,2.486,-1.371,5.069,2.0,1.243,-0.686,3.506,-3.0,4.972,-2.741,5.351,3.0,0,1,0,2,3,,,,,,
202402,2003,81.225,72.248,0,293.205,2,-3.23,,,,-8.293,0.0,2.251,-1.463,5.174,2.0,1.125,-0.732,3.568,-4.0,4.503,-2.928,5.258,3.0,0,0,0,0,0,,,,,,
202428,2003,76.564,52.305,1,209.179,2,-4.589,,,,-8.025,-0.258,0.998,3.481,5.429,2.0,0.499,1.74,3.415,-5.0,1.996,6.962,5.001,4.0,0,0,0,0,0,,,,,,
203170,2003,88.512,29.47,1,422.816,2,-3.622,,,,-9.885,0.0,7.742,0.614,2.994,2.0,3.871,0.307,4.698,-3.0,15.484,1.228,5.789,3.0,0,0,0,0,0,,,,,,
133563,2003,92.421,29.093,0,289.859,2,-6.444,1,,,-6.582,-1.0,-0.497,-0.767,5.639,1.0,-0.248,-0.383,4.508,-4.236,-0.994,-1.535,4.308,4.0,0,0,0,1,0,,,,,,
59501,2003,81.505,79.88,0,271.051,2,-3.741,,,,-5.566,0.0,-1.322,-2.803,5.294,2.0,-0.661,-1.401,5.702,-4.0,-2.645,-5.607,3.718,3.0,0,0,0,0,0,,,,,,
58419,2003,74.237,22.663,0,390.803,2,-5.094,1,,,-6.227,0.0,7.37,-1.993,4.875,2.0,3.685,-0.996,5.913,-2.495,14.741,-3.986,4.236,2.0,0,0,0,1,0,,,,,,
75998,2003,58.047,62.398,0,180.824,2,-4.487,,,,-5.332,-1.0,-1.003,0.249,5.635,1.0,-0.501,0.125,5.247,-5.0,-2.007,0.497,3.445,4.0,0,0,0,0,0,,,,,,
164263,2003,86.312,66.852,0,412.166,2,-4.749,,,,-8.731,0.0,0.29,-4.173,4.161,2.0,0.145,-2.087,4.298,-3.0,0.579,-8.346,5.505,3.0,0,0,0,1,1,,,,,,
202080,2003,120.212,16.266,0,474.055,2,-4.382,1,,,-9.618,0.0,-4.462,0.434,3.083,2.0,-2.231,0.217,5.489,-3.0,-8.923,0.867,5.626,3.0,0,0,0,0,0,,,,,,
200366,2003,57.243,67.18,1,210.723,2,-3.481,,,,-8.01,-1.0,2.459,1.929,5.337,2.0,1.229,0.965,3.454,-5.0,4.919,3.857,4.974,4.0,0,0,0,2,0,,,,,,
151793,2003,99.029,39.05,1,406.059,2,-5.735,1,,,-9.151,0.0,0.957,1.007,3.469,1.15,0.478,0.504,5.352,-3.484,1.915,2.016,5.765,4.0,0,0,0,0,0,,,,,,
151795,2003,55.308,66.676,1,397.758,2,-3.681,,,,-9.138,0.0,2.393,1.34,3.463,1.0,1.197,0.67,5.334,-4.0,4.786,2.681,5.749,4.0,0,0,0,0,0,,,,,,
151828,2003,80.631,80.868,0,393.225,2,-2.81,,,,-9.031,0.0,-0.078,1.732,3.631,2.0,-0.039,0.866,5.057,-4.0,-0.154,3.466,5.67,3.219,0,0,0,0,0,,,,,,
151829,2003,78.062,85.673,0,393.326,2,-2.988,,,,-9.024,0.0,-3.043,1.04,3.638,2.0,-1.521,0.52,5.052,-3.881,-6.086,2.079,5.667,3.007,0,0,0,0,0,,,,,,
151899,2003,92.376,46.814,1,421.73,2,-6.272,,,,-8.804,0.0,-0.444,-1.332,3.904,2.0,-0.222,-0.666,4.534,-3.0,-0.889,-2.663,5.52,3.0,0,0,0,0,0,,,,,,
151952,2003,92.972,45.957,0,392.483,2,-3.99,,,,-8.224,0.0,-1.358,2.133,4.479,2.0,-0.679,1.067,4.462,-3.0,-2.717,4.266,5.268,3.0,0,0,0,0,0,,,,,,
151953,2003,98.259,60.866,0,389.772,2,-4.64,,,,-8.213,0.0,-4.115,2.91,4.488,2.0,-2.057,1.455,4.46,-3.0,-8.232,5.822,5.262,3.0,0,0,0,0,0,,,,,,
