"pix","year","for_age_2003","for_con_2003","for_pro","elev","p1_trend","p1_trend_slope","trend_20yrs","delta_for_age_lag3","delta_for_con_lag3","delta_cmi_sm_lag3","delta_dd5_wt_lag3","avg_for_age","avg_for_con","avg_cmi_sm","avg_dd5_wt","min_cmi_sm","min_dd5_wt","max_cmi_sm","max_dd5_wt","delta_for_age_lag2","delta_for_con_lag2","delta_cmi_sm_lag2","delta_dd5_wt_lag2","delta_for_age_lag1","delta_for_con_lag1","delta_cmi_sm_lag1","delta_dd5_wt_lag1","delta_for_age","delta_for_con","delta_cmi_sm","delta_dd5_wt","fire","harv","insc","gfc","canlad","abio","count_brk_neg","sum_brk_magnitude_neg","avg_brk_magnitude_neg","count_brk_pos","sum_brk_magnitude_pos","avg_brk_magnitude_pos","cmi_sm_nrange","dd5_wt_nrange","min_cmi_sm_rel","max_cmi_sm_rel","min_dd5_wt_rel","max_dd5_wt_rel","map_nrange","mat_nrange","min_map_rel","max_map_rel","min_mat_rel","max_mat_rel","cmi_sm_cv","dd5_wt_cv","cmi_sm_cqv","dd5_wt_cqv","cmi_sm_nrange30","min_cmi_sm_rel30","max_cmi_sm_rel30","dd5_wt_nrange30","min_dd5_wt_rel30","max_dd5_wt_rel30","map_nrange30","min_map_rel30","max_map_rel30","mat_nrange30","min_mat_rel30","max_mat_rel30","cmi_sm_nrange30_reg","min_cmi_sm_rel30_reg","max_cmi_sm_rel30_reg","dd5_wt_nrange30_reg","min_dd5_wt_rel30_reg","max_dd5_wt_rel30_reg","map_nrange30_reg","min_map_rel30_reg","max_map_rel30_reg","mat_nrange30_reg","min_mat_rel30_reg","max_mat_rel30_reg","cmi_sm_rel30","dd5_wt_rel30","cmi_sm_rel30_reg","dd5_wt_rel30_reg","canlad_factor"
260669,2003,100.695,32.901,0,473.308,2,-3.273,1,,,-10.149,0,103.673,32.604,-2.476,6.2,-9.118,5,2.103,9,2.979,-0.297,2.947,2,1.489,-0.149,4.32,-3,5.957,-0.595,5.181,4,,0,0,0,0,0,0,0,0,0,0,0,-4.532,0.645,3.683,-0.849,0.806,1.452,0.174,0.469,0.918,1.093,0.792,1.26,1.5,0.237,-0.474,0.091,15.756,-12.803,2.953,1,1.25,2.25,0.18,0.95,1.13,0.541,0.914,1.455,-5.147,4.183,-0.965,1.067,1.333,2.4,0.193,1.017,1.21,0.498,0.842,1.341,-2.476686898553,0.55,1.136,1.653,"0"
109726,2003,76.392,31.54,1,424.359,2,-3.533,,,,-8.21,0,79.763,29.43,-2.752,5,-11.773,4,2.805,7,3.372,-2.11,4.043,2,1.686,-1.055,5.41,-3,6.742,-4.22,5.358,3,,0,0,0,0,0,0,0,0,0,0,0,-5.297,0.6,4.278,-1.019,0.8,1.4,0.216,0.494,0.909,1.125,0.79,1.284,1.781,0.219,-0.982,0.111,15.44,-12.469,2.971,1,1.333,2.333,0.218,0.916,1.134,0.58,0.926,1.506,-6.687,5.4,-1.287,0.8,1.067,1.867,0.218,0.919,1.138,0.484,0.773,1.257,-1.91478785921362,0.666666666666667,1.262,1.333,"0"
386456,2003,85.831,16.626,0,419.333,2,-3.431,1,,,-11.691,0,92.584,15.867,-3.826,6.553,-11.098,5,0.512,9.03,6.752,-0.76,7.23,2.737,3.376,-0.38,0.125,-3.293,13.505,-1.518,4.907,3.293,,0,0,0,0,1,0,0,0,0,0,0,-3.035,0.615,2.901,-0.134,0.763,1.378,0.212,0.42,0.906,1.118,0.823,1.242,1.034,0.213,-0.391,0.099,4.564,-4.363,0.201,1.007,1.25,2.258,0.219,0.936,1.155,0.479,0.938,1.417,-5.326,5.091,-0.235,1.075,1.333,2.408,0.209,0.893,1.101,0.49,0.96,1.45,-0.504045045039135,0.63825,1.755,1.747,"0"
188869,2003,94.169,65.035,0,417.531,2,-3.664,,,,-9.558,0,91.854,63.797,-3.038,5.043,-11.497,4,2.42,7,-2.315,-1.238,3.54,1,-1.158,-0.619,4.267,-3,-4.631,-2.477,5.836,3,,0,0,0,0,0,0,0,0,0,0,0,-4.581,0.595,3.784,-0.797,0.793,1.388,0.206,0.473,0.912,1.117,0.797,1.27,1.556,0.218,-1.091,0.132,11.084,-9.157,1.927,1,1.333,2.333,0.209,0.925,1.133,0.549,0.923,1.472,-6.384,5.274,-1.11,0.8,1.067,1.867,0.21,0.93,1.14,0.481,0.809,1.29,-1.41966861866844,0.681,1.394,1.345,"0"
185885,2003,89.294,70.613,0,386.924,2,-3.234,,,,-8.76,0,90.158,71.565,-3.629,5,-12.603,4,1.924,7,0.864,0.953,4.462,1,0.432,0.476,3.926,-3,1.727,1.905,5.537,3,,0,0,1,0,0,0,0,0,0,0,0,-4.003,0.6,3.473,-0.53,0.8,1.4,0.227,0.467,0.905,1.133,0.806,1.273,1.373,0.219,-0.968,0.111,7.097,-6.157,0.94,1,1.333,2.333,0.23,0.914,1.144,0.539,0.931,1.471,-6.664,5.781,-0.883,0.8,1.067,1.867,0.222,0.885,1.107,0.484,0.835,1.319,-0.772999846475663,0.666666666666667,1.665,1.333,"0"
179790,2003,93.918,40.801,0,361.298,2,-9.946,1,,,-7.904,-1,93.03,38.539,-4.31,5.2,-13.649,4,1.307,7,-0.888,-2.261,5.286,1,-0.444,-1.131,3.828,-4,-1.776,-4.523,5.126,3,,0,0,1,0,0,1,-606.625,-606.625,0,0,0,-3.47,0.577,3.167,-0.303,0.769,1.346,0.239,0.432,0.901,1.14,0.816,1.249,1.193,0.224,-0.739,0.2,5.117,-4.67,0.447,1,1.333,2.333,0.241,0.909,1.15,0.49,0.925,1.414,-6.861,6.261,-0.6,0.8,1.067,1.867,0.229,0.861,1.09,0.478,0.903,1.381,-0.474592783281045,0.733333333333333,1.977,1.387,"0"
226135,2003,79.09,12.781,0,290.918,2,-6.464,1,,,-7.903,-0.025,81.585,12.431,-5.666,6.324,-14.9,5,-0.26,9,2.495,-0.349,6.634,2,1.247,-0.175,3.424,-5,4.99,-0.699,4.586,4,,0,0,0,0,0,0,0,0,0,0,0,-2.584,0.633,2.63,0.046,0.791,1.423,0.241,0.374,0.898,1.139,0.842,1.216,0.884,0.233,-0.41,0.14,3.182,-3.239,-0.057,1,1.25,2.25,0.245,0.913,1.158,0.419,0.944,1.363,-6.716,6.835,0.119,1.067,1.333,2.4,0.227,0.846,1.072,0.476,1.072,1.548,-0.231508732364472,0.581,2.599,1.686,"0"
346010,2003,97.232,12.522,1,486.536,2,-3.941,1,,,-11.413,0,97.225,12.147,-2.791,6.4,-8.391,5,0.712,9,-0.007,-0.374,2.507,2,-0.003,-0.187,2.262,-4,-0.015,-0.749,4.94,4,,0,0,0,0,0,0,0,0,0,0,0,-3.262,0.625,3.006,-0.255,0.781,1.406,0.179,0.455,0.919,1.098,0.797,1.252,1.159,0.234,-0.767,0.167,9.679,-8.922,0.757,1,1.25,2.25,0.186,0.955,1.141,0.522,0.915,1.437,-4.176,3.849,-0.327,1.067,1.333,2.4,0.2,1.031,1.231,0.497,0.871,1.368,-1.96766573022154,0.6,1.28,1.707,"0"
407867,2003,104.59,21.004,0,516.32,2,-5.663,,,,-12.761,0,101.133,21.091,-2.946,6.4,-8.99,5,0.556,9,-3.458,0.088,4.143,2,-1.729,0.044,-0.824,-4,-6.915,0.175,5.479,4,,0,0,0,0,0,0,0,0,0,0,0,-3.24,0.625,3.052,-0.189,0.781,1.406,0.184,0.456,0.915,1.1,0.802,1.258,1.205,0.234,-0.819,0.167,7.746,-7.295,0.451,1,1.25,2.25,0.191,0.949,1.14,0.526,0.924,1.451,-4.379,4.124,-0.255,1.067,1.333,2.4,0.195,0.968,1.163,0.488,0.858,1.346,-1.39064159905972,0.6,1.351,1.707,"0"
157048,2003,81.888,38.549,1,409.457,2,-5.063,,,,-8.787,0,83.881,40.17,-3.29,5,-12.162,4,2.16,7,1.994,1.621,3.975,2,0.997,0.811,4.414,-3,3.987,3.242,5.505,3,,0,0,0,0,0,0,0,0,0,0,0,-4.353,0.6,3.697,-0.657,0.8,1.4,0.221,0.48,0.907,1.128,0.796,1.276,1.486,0.219,-1.019,0.111,9.376,-7.962,1.414,1,1.333,2.333,0.223,0.915,1.138,0.556,0.922,1.478,-6.57,5.579,-0.991,0.8,1.067,1.867,0.22,0.906,1.126,0.484,0.803,1.287,-1.1537618966607,0.666666666666667,1.509,1.333,"0"
