pix,year,for_age_2003,for_con_2003,for_pro,elev,p1_trend,p1_trend_slope,trend_20yrs,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,fire,harv,insc,gfc,canlad,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos
34565,2003,81.485,30.536,0,385.239,1,3.916,,,,-7.516,0.0,-2.15,0.688,4.271,2.0,-1.075,0.344,7.3,-3.0,-4.302,1.374,5.752,3.0,0,0,0,0,0,,,,,,
35726,2003,90.411,39.377,0,378.061,1,4.678,5,,,-6.806,0.0,1.693,-1.948,4.45,2.0,0.846,-0.974,6.5,-3.0,3.385,-3.895,4.69,2.0,0,1,0,4,1,,,,,,
46753,2003,84.312,37.032,0,332.765,1,4.386,,,,-6.479,0.0,-3.152,-2.426,5.069,2.0,-1.576,-1.213,8.254,-4.0,-6.306,-4.851,5.789,4.0,0,0,0,0,0,,,,,,
82997,2003,66.546,40.054,0,287.955,1,4.772,1,,,-7.616,0.0,0.218,-1.198,4.086,2.0,0.109,-0.599,5.727,-4.0,0.435,-2.395,4.945,3.0,0,0,0,0,0,,,,,,
144526,2003,79.291,46.629,1,425.013,1,2.94,,,,-9.061,-0.233,-0.247,-3.738,3.334,1.0,-0.123,-1.869,5.967,-4.0,-0.495,-7.477,5.797,4.0,0,0,0,0,0,,,,,,
144854,2003,88.475,26.857,1,310.361,1,3.335,,,,-6.971,-1.0,4.958,-2.179,5.441,1.0,2.479,-1.09,4.36,-4.126,9.917,-4.359,4.53,4.0,0,0,0,1,0,,,,,,
144913,2003,84.884,64.438,0,204.845,1,3.998,,,,-6.362,0.0,-4.163,-0.943,6.112,2.0,-2.081,-0.472,4.467,-5.0,-8.328,-1.886,3.995,4.0,0,0,0,0,0,,,,,,
145441,2003,83.142,32.842,0,393.966,1,3.247,,,,-7.39,0.0,-8.836,0.716,4.69,2.0,-4.418,0.358,7.59,-4.0,-17.673,1.431,5.002,4.0,0,0,0,0,0,,,,,,
145442,2003,69.016,40.36,0,398.169,1,3.342,,,,-7.405,0.0,-3.53,-0.854,4.686,2.0,-1.765,-0.427,7.581,-4.0,-7.061,-1.709,5.01,4.0,0,0,0,0,0,,,,,,
145443,2003,69.602,23.062,0,393.535,1,2.913,,,,-7.423,0.0,-1.931,0.534,4.677,2.0,-0.965,0.267,7.568,-4.0,-3.862,1.07,5.018,4.0,0,0,0,0,0,,,,,,
145445,2003,93.13,22.996,0,399.319,1,2.7,,,,-7.453,0.0,-6.095,0.821,4.66,2.0,-3.048,0.41,7.55,-4.0,-12.189,1.643,5.036,4.0,0,0,0,0,0,,,,,,
145455,2003,95.692,26.465,0,419.878,1,3.226,,,,-7.609,0.0,-7.94,3.916,4.554,2.0,-3.97,1.958,7.425,-4.0,-15.879,7.832,5.116,4.0,0,0,1,0,0,,,,,,
145513,2003,70.64,41.157,1,406.627,1,3.298,1,,,-8.468,0.0,6.941,-4.859,3.863,2.0,3.47,-2.43,6.592,-3.0,13.88,-9.718,5.522,3.0,0,0,2,0,0,,,,,,
145555,2003,74.759,65.542,1,426.612,1,3.71,,,,-9.084,-0.333,2.237,-2.121,3.312,1.0,1.118,-1.06,5.936,-4.0,4.475,-4.241,5.798,4.0,0,0,0,0,0,,,,,,
145556,2003,81.304,67.687,1,429.009,1,3.844,,,,-9.099,0.0,0.529,-2.821,3.294,1.0,0.265,-1.41,5.919,-4.0,1.056,-5.644,5.806,4.0,0,0,0,0,0,,,,,,
69521,2003,94.55,14.706,0,483.112,1,3.816,,,,-8.022,0.0,0.431,1.913,3.927,2.0,0.216,0.956,6.735,-2.0,0.861,3.828,5.821,3.0,0,0,0,0,0,,,,,,
84775,2003,72.215,41.163,0,391.193,1,6.034,1,,,-6.711,0.0,1.644,-0.512,5.08,2.0,0.822,-0.256,8.188,-3.969,3.288,-1.026,5.508,3.664,0,0,0,0,0,,,,,,
34562,2003,73.597,37.733,0,358.562,1,3.531,,,,-7.526,0.0,2.617,1.327,4.26,2.0,1.308,0.663,7.333,-3.0,5.233,2.654,5.76,3.0,0,0,0,0,0,,,,,,
95547,2003,76.065,42.354,0,212.867,1,3.769,1,,,-5.562,-0.152,-0.397,-2.904,5.816,1.848,-0.199,-1.452,5.106,-4.166,-0.794,-5.807,3.605,3.152,0,0,0,0,0,,,,,,
47131,2003,78.611,27.148,0,359.454,1,7.176,,,,-5.776,0.0,2.466,0.433,5.073,2.0,1.233,0.217,6.07,-3.0,4.932,0.864,3.96,2.0,0,0,0,0,0,,,,,,
