"pix","year","for_age_2003","for_con_2003","for_pro","elev","p1_trend","p1_trend_slope","trend_20yrs","delta_for_age_lag3","delta_for_con_lag3","delta_cmi_sm_lag3","delta_dd5_wt_lag3","avg_for_age","avg_for_con","avg_cmi_sm","avg_dd5_wt","min_cmi_sm","min_dd5_wt","max_cmi_sm","max_dd5_wt","delta_for_age_lag2","delta_for_con_lag2","delta_cmi_sm_lag2","delta_dd5_wt_lag2","delta_for_age_lag1","delta_for_con_lag1","delta_cmi_sm_lag1","delta_dd5_wt_lag1","delta_for_age","delta_for_con","delta_cmi_sm","delta_dd5_wt","fire","harv","insc","gfc","canlad","abio","count_brk_neg","sum_brk_magnitude_neg","avg_brk_magnitude_neg","count_brk_pos","sum_brk_magnitude_pos","avg_brk_magnitude_pos","cmi_sm_nrange","dd5_wt_nrange","min_cmi_sm_rel","max_cmi_sm_rel","min_dd5_wt_rel","max_dd5_wt_rel","map_nrange","mat_nrange","min_map_rel","max_map_rel","min_mat_rel","max_mat_rel","cmi_sm_cv","dd5_wt_cv","cmi_sm_cqv","dd5_wt_cqv","cmi_sm_nrange30","min_cmi_sm_rel30","max_cmi_sm_rel30","dd5_wt_nrange30","min_dd5_wt_rel30","max_dd5_wt_rel30","map_nrange30","min_map_rel30","max_map_rel30","mat_nrange30","min_mat_rel30","max_mat_rel30","cmi_sm_nrange30_reg","min_cmi_sm_rel30_reg","max_cmi_sm_rel30_reg","dd5_wt_nrange30_reg","min_dd5_wt_rel30_reg","max_dd5_wt_rel30_reg","map_nrange30_reg","min_map_rel30_reg","max_map_rel30_reg","mat_nrange30_reg","min_mat_rel30_reg","max_mat_rel30_reg","cmi_sm_rel30","dd5_wt_rel30","cmi_sm_rel30_reg","dd5_wt_rel30_reg","canlad_factor"
319438,2003,74.074,41.448,1,442.207,1,2.853,,,,-11.355,0,69.482,42.148,-3.129,6.2,-10.09,5,1.104,9,-4.593,0.7,3.729,2,-2.297,0.35,1.282,-3.197,-9.184,1.4,5.56,4,,0,0,0,0,0,0,0,0,0,0,0,-3.578,0.645,3.225,-0.353,0.806,1.452,0.192,0.447,0.914,1.106,0.806,1.254,1.253,0.237,-0.767,0.091,8.193,-7.385,0.808,1,1.25,2.25,0.197,0.939,1.136,0.512,0.923,1.435,-5.135,4.628,-0.506,1.067,1.333,2.4,0.199,0.947,1.146,0.483,0.871,1.354,-1.29010965742524,0.55,1.435,1.653,"0"
288617,2003,79.756,44.948,1,445.85,1,4.178,,,,-10.907,0,84.442,44.533,-3.034,5.943,-10.485,5,1.548,8,4.687,-0.415,3.814,2,2.344,-0.207,1.793,-2.979,9.373,-0.83,5.681,3,,0,1,0,0,0,0,0,0,0,0,0,-3.966,0.505,3.456,-0.51,0.841,1.346,0.201,0.461,0.912,1.113,0.8,1.262,1.377,0.185,-0.938,0.091,9.392,-8.183,1.208,0.75,1.25,2,0.206,0.933,1.139,0.526,0.913,1.439,-5.52,4.81,-0.71,0.8,1.333,2.133,0.206,0.935,1.141,0.48,0.834,1.314,-1.36797312101775,0.48575,1.392,1.585,"0"
102502,2003,91.096,34.769,0,421.097,1,2.88,1,,,-8.173,0,95.09,34.932,-2.705,5,-11.613,4,2.921,7,3.995,0.163,3.969,2,1.998,0.082,5.676,-3,7.989,0.325,5.412,3,,0,0,1,0,0,0,0,0,0,0,0,-5.373,0.6,4.293,-1.08,0.8,1.4,0.207,0.497,0.912,1.119,0.788,1.285,1.79,0.219,-0.772,0.111,16.108,-12.87,3.237,1,1.333,2.333,0.209,0.922,1.13,0.58,0.918,1.498,-6.667,5.327,-1.34,0.8,1.067,1.867,0.21,0.927,1.137,0.492,0.779,1.271,-1.9978724856971,0.666666666666667,1.241,1.333,"0"
11277,2003,76.179,42.809,0,223.086,1,2.973,,,,-3.468,0,77.332,39.578,-5.19,5,-15.612,4,-0.244,7,1.152,-3.231,5.902,2,0.576,-1.615,6.457,-4.187,2.306,-6.463,2.417,3,,0,0,0,0,0,0,0,0,0,0,0,-2.961,0.6,3.008,0.047,0.8,1.4,0.267,0.39,0.882,1.149,0.837,1.227,1.045,0.219,-0.336,0.111,4.057,-4.121,-0.064,1,1.333,2.333,0.267,0.88,1.147,0.443,0.951,1.395,-7.05,7.161,0.112,0.8,1.067,1.867,0.249,0.821,1.07,0.48,1.029,1.509,-0.370132502643219,0.666666666666667,2.381,1.333,"0"
176276,2003,104.957,23.946,0,460.94,1,4.275,,,,-7.591,0,95.113,23.978,-1.757,6.164,-8.94,5,3.839,8.91,-9.844,0.031,4.606,2,-4.922,0.016,7.455,-3.791,-19.687,0.063,4.71,3.91,,0,0,0,0,0,0,0,0,0,0,0,-7.273,0.634,5.088,-2.185,0.811,1.445,0.17,0.457,0.916,1.086,0.791,1.248,2.338,0.233,-0.366,0.091,41.198,-28.821,12.376,1.303,1.667,2.97,0.176,0.95,1.126,0.529,0.916,1.446,-5.862,4.101,-1.761,1.043,1.333,2.376,0.191,1.03,1.221,0.501,0.868,1.37,-4.664309067735,1.05466666666667,0.806,1.644,"0"
291723,2003,92.477,35.373,0,461.461,1,3.44,,,,-10.862,0,95.087,34.074,-2.916,5.802,-10.449,5,1.708,8,2.61,-1.3,4.098,2,1.305,-0.65,1.666,-2.998,5.219,-2.598,5.647,3,,0,0,0,0,0,0,0,0,0,0,0,-4.169,0.517,3.583,-0.586,0.862,1.379,0.205,0.465,0.911,1.116,0.8,1.265,1.445,0.201,-1.009,0.091,9.979,-8.577,1.402,0.75,1.25,2,0.21,0.932,1.141,0.539,0.926,1.465,-5.577,4.793,-0.783,0.8,1.333,2.133,0.209,0.929,1.139,0.477,0.821,1.298,-1.39360807626611,0.4505,1.338,1.547,"0"
50872,2003,81.509,28.578,0,364.49,1,4.677,1,,,-6.624,-0.07,81.194,30.595,-1.653,5.725,-9.977,4,5.024,8.696,-0.314,2.017,5.062,2.93,-0.157,1.009,8.218,-4.061,-0.629,4.035,5.823,3.766,,0,0,0,0,0,0,0,0,0,0,0,-9.075,0.82,6.036,-3.039,0.699,1.519,0.172,0.417,0.911,1.083,0.815,1.232,2.944,0.282,-1.049,0.098,47.637,-31.683,15.954,1.565,1.333,2.899,0.178,0.938,1.116,0.485,0.946,1.431,-6.881,4.577,-2.305,1.252,1.067,2.319,0.184,0.972,1.156,0.483,0.942,1.425,-4.24922916973457,0.908333333333333,0.758,1.527,"0"
107897,2003,64.832,50.977,0,191.347,1,3.054,1,,,-5.647,0,66.279,53.609,-6.551,5.989,-16.405,4,-1.354,8.943,1.446,2.633,5.938,2,0.723,1.316,4.964,-5,2.893,5.264,3.586,3.943,,0,0,0,0,0,0,0,0,0,0,0,-2.298,0.825,2.504,0.207,0.668,1.493,0.254,0.361,0.891,1.145,0.858,1.219,0.797,0.276,-0.308,0.091,2.88,-3.139,-0.259,1.236,1,2.236,0.255,0.896,1.151,0.403,0.96,1.363,-6.904,7.525,0.621,1.318,1.067,2.385,0.233,0.818,1.051,0.475,1.13,1.605,-0.253414459181589,0.49725,3.005,1.597,"0"
326769,2003,,,0,322.774,1,5.38,,,,-10.601,-0.701,,,-4.902,6.473,-12.423,5,-0.476,9.366,,,5.618,2,,,1.105,-4.701,,,5.014,4.366,,0,0,0,0,0,0,0,0,0,0,0,-2.437,0.674,2.534,0.097,0.772,1.447,0.214,0.394,0.908,1.122,0.833,1.227,0.836,0.251,-0.382,0.167,3.507,-3.646,-0.14,1.092,1.25,2.342,0.22,0.931,1.151,0.445,0.94,1.386,-5.48,5.699,0.218,1.164,1.333,2.498,0.202,0.857,1.059,0.478,1.01,1.488,-0.438777367746651,0.61825,2.249,1.726,"0"
326742,2003,101.839,17.876,0,394.047,1,3.674,,,,-10.86,0,103.938,18.352,-3.922,6.152,-11.331,5,0.507,8.759,2.1,0.475,5.233,2,1.05,0.238,1.037,-3.509,4.198,0.951,5.218,3.759,,0,0,0,0,0,0,0,0,0,0,0,-3.018,0.611,2.889,-0.129,0.813,1.424,0.21,0.43,0.909,1.119,0.816,1.246,1.039,0.224,-0.543,0.091,4.951,-4.739,0.212,0.94,1.25,2.19,0.216,0.932,1.148,0.489,0.928,1.417,-5.43,5.198,-0.233,1.002,1.333,2.336,0.205,0.884,1.089,0.481,0.912,1.394,-0.640275637887899,0.538,1.799,1.641,"0"
