pix,year,for_age_2008,for_con_2008,for_pro,elev,p2_trend,p2_trend_slope,trend_20yrs,gfc_tsince,gfc_wsum,gfc_csum,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,deltap_for_age_lag3,deltap_for_con_lag3,deltap_cmi_sm_lag3,deltap_dd5_wt_lag3,avg_for_age,avg_for_con,avg_cmi_sm,avg_dd5_wt,min_cmi_sm,min_dd5_wt,max_cmi_sm,max_dd5_wt,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,deltap_for_age_lag2,deltap_for_con_lag2,deltap_cmi_sm_lag2,deltap_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,deltap_for_age_lag1,deltap_for_con_lag1,deltap_cmi_sm_lag1,deltap_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,deltap_for_age,deltap_for_con,deltap_cmi_sm,deltap_dd5_wt,fire,harv,insc,gfc,canlad,abio,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos,cmi_sm_nrange,dd5_wt_nrange,min_cmi_sm_rel,max_cmi_sm_rel,min_dd5_wt_rel,max_dd5_wt_rel,map_nrange,mat_nrange,min_map_rel,max_map_rel,min_mat_rel,max_mat_rel,cmi_sm_cv,dd5_wt_cv,cmi_sm_cqv,dd5_wt_cqv,cmi_sm_nrange30,min_cmi_sm_rel30,max_cmi_sm_rel30,dd5_wt_nrange30,min_dd5_wt_rel30,max_dd5_wt_rel30,map_nrange30,min_map_rel30,max_map_rel30,mat_nrange30,min_mat_rel30,max_mat_rel30,cmi_sm_nrange30_reg,min_cmi_sm_rel30_reg,max_cmi_sm_rel30_reg,dd5_wt_nrange30_reg,min_dd5_wt_rel30_reg,max_dd5_wt_rel30_reg,map_nrange30_reg,min_map_rel30_reg,max_map_rel30_reg,mat_nrange30_reg,min_mat_rel30_reg,max_mat_rel30_reg,cmi_sm_rel30,dd5_wt_rel30,cmi_sm_rel30_reg,dd5_wt_rel30_reg,cmi_sm_rel30p_reg,dd5_wt_rel30p_reg
265161,2008,100.686,17.765,0,351.688,2,-4.602,2,1,6.0,6,2.964,-2.968,16.105,-1.0,3.033,-14.315,-119.358,-0.2,100.84,16.388,-2.677,5.6,-12.348,4.0,2.612,8.0,1.976,-1.979,4.43,-2.0,2.002,-10.023,-243.674,-0.333,0.988,-0.99,2.239,-5.0,0.991,-5.279,600.268,-0.556,-5.16,-0.95,-14.96,4.0,-5.125,-5.348,-572.741,100.0,,0,0,1,1,0,0,0.0,0.0,0,0.0,0.0,-5.588,0.714,4.613,-0.976,0.714,1.429,0.196,0.43,0.903,1.099,0.781,1.21,2.024,0.242,-1.359,0.091,4.18,-3.45,0.73,1.0,1.0,2.0,0.212,0.978,1.19,0.55,1.0,1.55,6.862,-5.664,1.198,1.067,1.067,2.133,0.198,0.914,1.112,0.58,1.055,1.636,0.9020781974792498,1.5999999999999996,-0.497,1.85,-22.798,49.333
432798,2008,84.987,51.172,0,330.693,2,-4.024,2,1,26.0,26,5.822,9.139,14.659,-1.0,7.354,21.742,-116.194,-0.167,89.386,56.389,-2.74,7.2,-13.437,5.0,3.019,11.0,3.881,6.093,7.099,-2.018,4.785,13.516,-140.407,-0.288,1.94,3.046,4.077,-6.258,2.336,6.329,-200.442,-0.556,10.35,7.807,-15.48,6.0,12.178,15.256,-757.709,120.0,,0,0,1,1,0,0,0.0,0.0,0,0.0,0.0,-6.006,0.833,4.904,-1.102,0.694,1.528,0.28,0.393,0.858,1.138,0.799,1.193,2.323,0.283,-1.884,0.077,3.392,-2.77,0.622,1.2,1.0,2.2,0.311,0.95,1.261,0.49,0.996,1.486,7.549,-6.164,1.385,1.6,1.333,2.933,0.29,0.888,1.179,0.601,1.221,1.821,2.1116159057617194,2.2,-0.56,3.45,-25.688,92.0
443864,2008,79.208,37.386,0,419.717,2,-3.867,2,3,3.333,10,-8.87,0.297,15.338,-1.8,-10.071,0.801,-156.414,-0.3,73.992,37.557,0.373,5.84,-8.471,4.2,6.716,9.0,-5.914,0.198,7.887,-2.8,-6.948,0.532,-334.904,-0.4,-2.957,0.099,6.463,-5.97,-3.599,0.266,-694.2,-0.587,-8.341,0.258,-14.003,4.8,-10.531,0.69,-253.127,114.286,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,40.716,0.822,-22.71,18.005,0.719,1.541,0.293,0.451,0.876,1.168,0.776,1.226,-16.617,0.288,-131.165,0.091,6.472,-3.61,2.862,1.2,1.05,2.25,0.328,0.981,1.309,0.581,1.0,1.581,6.967,-3.886,3.081,1.28,1.12,2.4,0.324,0.971,1.295,0.607,1.044,1.651,2.7195445041656496,1.8399999999999999,2.553,2.09,117.11,55.733
444807,2008,78.102,69.149,0,380.13,2,-2.527,2,0,0.0,0,3.55,-2.917,15.386,-1.0,4.762,-4.048,-162.54,-0.167,79.499,67.635,0.613,6.6,-7.823,5.0,7.33,10.0,2.367,-1.945,8.878,-2.0,3.125,-2.736,-300.135,-0.286,1.183,-0.972,7.596,-6.0,1.538,-1.386,-453.222,-0.545,-0.111,-1.733,-13.743,5.0,-0.142,-2.506,-232.145,100.0,,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,24.719,0.758,-12.762,11.958,0.758,1.515,0.3,0.423,0.88,1.18,0.791,1.214,-10.098,0.264,50.93,0.0,6.004,-3.1,2.904,1.0,1.0,2.0,0.337,0.987,1.323,0.535,1.0,1.535,6.951,-3.589,3.362,1.333,1.333,2.667,0.346,1.014,1.36,0.607,1.135,1.741,3.13671144294739,1.5999999999999996,2.793,2.85,128.119,76.0
444893,2008,97.09,39.933,0,433.381,2,-4.848,2,0,0.0,0,0.498,-2.783,15.359,-2.0,0.516,-6.515,-160.023,-0.333,97.109,37.812,0.594,5.8,-8.283,4.0,6.978,9.0,0.332,-1.855,7.901,-3.0,0.343,-4.439,-369.206,-0.429,0.166,-0.928,6.473,-6.0,0.171,-2.271,-909.129,-0.6,-0.899,-5.038,-14.044,5.0,-0.926,-12.616,-243.777,125.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,25.692,0.862,-13.944,11.747,0.69,1.552,0.293,0.458,0.875,1.168,0.77,1.228,-10.47,0.297,31.733,0.091,7.083,-3.844,3.239,1.25,1.0,2.25,0.329,0.981,1.31,0.592,0.996,1.588,7.0,-3.8,3.201,1.333,1.067,2.4,0.327,0.975,1.302,0.611,1.027,1.638,2.7485286178588897,1.7999999999999998,2.774,2.05,127.248,54.667
318590,2008,82.562,24.0,0,374.732,2,-4.25,2,0,0.0,0,-5.975,2.647,15.887,-1.0,-6.749,12.396,-128.007,-0.2,78.807,25.901,-1.753,5.6,-11.362,4.0,3.476,8.0,-3.983,1.765,5.415,-2.0,-4.602,7.938,-279.268,-0.333,-1.992,0.883,3.225,-5.0,-2.356,3.82,1284.861,-0.556,-6.827,4.214,-14.838,4.0,-8.269,17.558,-426.87,100.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,-8.464,0.714,6.481,-1.983,0.714,1.429,0.224,0.447,0.892,1.116,0.77,1.218,3.207,0.242,-2.754,0.091,4.713,-3.609,1.104,1.0,1.0,2.0,0.245,0.977,1.222,0.581,1.0,1.581,6.806,-5.212,1.594,1.067,1.067,2.133,0.231,0.918,1.148,0.597,1.027,1.624,1.3949983329772901,1.5999999999999996,0.427,1.85,19.587,49.333
301036,2008,56.254,66.355,0,323.74,2,-3.696,2,0,0.0,0,2.033,1.708,16.375,-1.0,3.749,2.642,-132.72,-0.2,57.966,68.178,-1.774,5.6,-10.584,4.0,4.037,8.0,1.355,1.139,6.017,-2.0,2.468,1.747,-303.889,-0.333,0.678,0.57,4.198,-5.0,1.22,0.866,-2607.453,-0.556,4.496,5.699,-14.621,4.0,7.992,8.589,-362.175,100.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,-8.242,0.714,5.966,-2.276,0.714,1.429,0.219,0.431,0.904,1.123,0.784,1.216,3.125,0.242,-2.251,0.091,4.664,-3.376,1.288,1.0,1.0,2.0,0.239,0.991,1.23,0.552,1.003,1.554,6.707,-4.855,1.852,1.067,1.067,2.133,0.223,0.921,1.144,0.58,1.055,1.636,1.36113851165771,1.5999999999999996,0.406,1.85,18.624,49.333
301037,2008,69.131,79.334,0,322.881,2,-3.284,2,0,0.0,0,-1.989,4.041,16.369,-1.0,-2.797,5.367,-132.553,-0.2,68.171,82.144,-1.783,5.6,-10.605,4.0,4.02,8.0,-1.326,2.694,6.004,-2.0,-1.882,3.515,-302.621,-0.333,-0.663,1.347,4.183,-5.0,-0.95,1.727,-2566.258,-0.556,-0.824,5.966,-14.625,4.0,-1.192,7.52,-363.806,100.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,-8.202,0.714,5.948,-2.255,0.714,1.429,0.218,0.433,0.904,1.123,0.783,1.216,3.109,0.242,-2.241,0.091,4.656,-3.376,1.28,1.0,1.0,2.0,0.239,0.99,1.229,0.552,1.0,1.552,6.709,-4.865,1.844,1.067,1.067,2.133,0.222,0.921,1.143,0.582,1.054,1.636,1.3580140991210903,1.5999999999999996,0.397,1.85,18.211,49.333
301088,2008,86.557,32.721,0,435.192,2,-4.011,2,0,0.0,1,1.241,2.862,16.258,-2.0,1.455,9.585,-142.489,-0.4,86.973,33.984,-0.662,4.6,-10.044,3.0,4.848,7.0,0.827,1.908,5.488,-2.0,0.965,6.192,-857.5,-0.4,0.413,0.954,3.35,-5.0,0.479,3.003,223.632,-0.625,-0.405,0.593,-14.892,4.0,-0.468,1.812,-307.178,133.333,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-22.495,0.87,15.172,-7.323,0.652,1.522,0.215,0.473,0.899,1.114,0.758,1.231,8.426,0.295,-9.522,0.111,7.411,-4.999,2.413,1.0,0.75,1.75,0.235,0.982,1.217,0.623,1.0,1.623,6.831,-4.607,2.224,1.067,0.8,1.867,0.225,0.94,1.165,0.584,0.936,1.52,1.3473543529510499,0.5999999999999996,1.518,0.85,69.633,22.667
302064,2008,81.398,68.094,0,324.334,2,-3.717,2,0,0.0,0,13.427,2.762,16.363,-1.0,19.754,4.228,-132.741,-0.2,88.682,70.48,-1.768,5.6,-10.582,4.0,4.036,8.0,8.951,1.841,6.027,-2.0,12.355,2.779,-302.712,-0.333,4.475,0.92,4.208,-5.0,5.818,1.37,-2446.512,-0.556,9.566,6.405,-14.618,4.0,11.752,9.406,-362.19,100.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,-8.268,0.714,5.985,-2.283,0.714,1.429,0.219,0.431,0.904,1.123,0.784,1.216,3.137,0.242,-2.271,0.091,4.66,-3.374,1.287,1.0,1.0,2.0,0.24,0.99,1.23,0.55,1.0,1.55,6.706,-4.854,1.851,1.067,1.067,2.133,0.223,0.921,1.144,0.58,1.055,1.636,1.36866105270386,1.5999999999999996,0.412,1.85,18.899,49.333
